disease,description
(vertigo) Paroymsal  Positional Vertigo,Chóng mặt tư thế kịch phát lành tính (BPPV) gây các cơn chóng mặt ngắn khi đổi tư thế đầu hoặc cơ thể.
AIDS,"AIDS là giai đoạn muộn của nhiễm HIV, khi hệ miễn dịch suy giảm nặng, dễ mắc nhiễm trùng cơ hội."
Acne,"Mụn trứng cá là tình trạng viêm nang lông–tuyến bã gây mụn đầu đen, mụn viêm, mụn mủ, thường ở mặt và lưng."
Alcoholic hepatitis,"Viêm gan do rượu là viêm gan do uống rượu nhiều kéo dài, có thể tiến triển xơ gan và suy gan."
Allergy,"Dị ứng là phản ứng quá mức của hệ miễn dịch với dị nguyên như phấn hoa, thức ăn, lông thú, gây hắt hơi, ngứa, nổi mẩn."
Arthritis,"Viêm khớp là tình trạng viêm/sưng đau khớp gây đau và cứng khớp, thường nặng hơn khi vận động hoặc theo tuổi."
Bronchial Asthma,"Hen phế quản là bệnh viêm mạn đường thở gây khò khè, khó thở, tức ngực, ho (thường về đêm)."
Cervical spondylosis,"Thoái hóa cột sống cổ do lão hóa/thoái hóa đĩa đệm gây đau cổ, cứng cổ, tê lan tay."
Chicken pox,Thủy đậu do virus varicella-zoster gây sốt và phát ban mụn nước ngứa lan toàn thân.
Chronic cholestasis,"Ứ mật mạn tính là tình trạng giảm/dừng dòng mật gây ngứa, vàng da, rối loạn tiêu hóa chất béo."
Common Cold,"Cảm lạnh là nhiễm virus đường hô hấp trên gây hắt hơi, sổ mũi, đau họng, ho nhẹ."
Dengue,"Sốt xuất huyết Dengue do virus Dengue lây qua muỗi Aedes, gây sốt cao, đau nhức, có thể xuất huyết."
Diabetes,"Đái tháo đường là rối loạn chuyển hóa làm tăng đường huyết kéo dài, gây khát nhiều, tiểu nhiều, sụt cân."
Dimorphic hemmorhoids(piles),"Bệnh trĩ là tình trạng sưng giãn tĩnh mạch vùng hậu môn–trực tràng gây đau, ngứa, chảy máu khi đi cầu."
Drug Reaction,"Phản ứng có hại của thuốc là tác dụng không mong muốn khi dùng thuốc, có thể gây phát ban, ngứa, khó thở hoặc sốc phản vệ."
Fungal infection,"Nhiễm nấm da xảy ra khi nấm phát triển quá mức trên da, gây ngứa, đỏ, bong vảy hoặc tổn thương dạng vòng."
GERD,"Trào ngược dạ dày–thực quản (GERD) gây ợ nóng, ợ chua do acid trào lên thực quản."
Gastroenteritis,"Viêm dạ dày–ruột gây tiêu chảy, đau quặn bụng, buồn nôn/nôn do nhiễm virus/vi khuẩn."
Heart attack,"Nhồi máu cơ tim xảy ra khi tắc mạch vành làm cơ tim thiếu máu, thường đau ngực, vã mồ hôi, khó thở."
Hepatitis B,"Viêm gan B do HBV gây viêm gan, có thể mạn tính dẫn đến xơ gan và ung thư gan."
Hepatitis C,"Viêm gan C do HCV lây qua đường máu, thường tiến triển mạn tính và gây xơ gan."
Hepatitis D,"Viêm gan D (HDV) thường xảy ra cùng viêm gan B, làm bệnh gan nặng hơn."
Hepatitis E,"Viêm gan E do HEV thường lây qua thực phẩm/nước bẩn, đa số tự khỏi nhưng nguy hiểm ở phụ nữ mang thai."
Hypertension,"Tăng huyết áp là tình trạng huyết áp cao kéo dài, thường ít triệu chứng nhưng tăng nguy cơ đột quỵ, tim mạch."
Hyperthyroidism,"Cường giáp là tình trạng tuyến giáp tiết quá nhiều hormone gây sụt cân, tim nhanh, run tay, nóng bức."
Hypoglycemia,"Hạ đường huyết là đường máu thấp gây run, vã mồ hôi, đói, lú lẫn, có thể ngất."
Hypothyroidism,"Suy giáp là tình trạng thiếu hormone tuyến giáp gây mệt mỏi, tăng cân, lạnh, khô da."
Impetigo,"Chốc lở là nhiễm khuẩn da dễ lây, gây mụn nước/vết loét đóng vảy vàng mật ong."
Jaundice,"Vàng da là dấu hiệu tăng bilirubin khiến da và mắt vàng, thường liên quan bệnh gan hoặc tắc mật."
Malaria,"Sốt rét do ký sinh trùng Plasmodium lây qua muỗi Anopheles, gây sốt từng cơn, rét run, vã mồ hôi."
Migraine,"Đau nửa đầu (migraine) gây đau đầu theo cơn, thường một bên, kèm buồn nôn, sợ ánh sáng/tiếng động."
Osteoarthristis,"Thoái hóa khớp là mòn sụn khớp theo thời gian gây đau và cứng khớp, hay gặp ở gối, háng, cột sống."
Paralysis (brain hemorrhage),"Xuất huyết não có thể gây yếu/liệt đột ngột, nói khó, méo miệng, đau đầu dữ dội—cần cấp cứu."
Peptic ulcer diseae,"Loét dạ dày–tá tràng là vết loét niêm mạc gây đau thượng vị, ợ chua, đầy bụng, có thể xuất huyết."
Pneumonia,"Viêm phổi là nhiễm trùng nhu mô phổi gây sốt, ho, khó thở, đau ngực khi thở."
Psoriasis,"Vảy nến là bệnh da mạn tính gây mảng đỏ dày phủ vảy trắng bạc, hay ở khuỷu tay, đầu gối, da đầu."
Tuberculosis,"Lao là bệnh nhiễm Mycobacterium tuberculosis, thường ở phổi, gây ho kéo dài, gầy sút, sốt về chiều."
Typhoid,"Thương hàn do Salmonella typhi gây sốt kéo dài, đau bụng, rối loạn tiêu hóa."
Urinary tract infection,"Nhiễm trùng đường tiết niệu gây tiểu buốt, tiểu rắt, đau hạ vị, đôi khi sốt/đau lưng."
Varicose veins,"Giãn tĩnh mạch chân là tĩnh mạch nổi ngoằn ngoèo gây nặng chân, đau, phù, tê mỏi."
hepatitis A,"Viêm gan A do HAV lây qua đường tiêu hóa, gây sốt, mệt, chán ăn, vàng da; thường tự khỏi."
